url,WeekID,Week Position,Song,Performer,SongID,Instance,Previous Week Position,Peak Position,Weeks on Chart
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,85,Bad Vibes Forever,XXXTENTACION Featuring PnB Rock & Trippie Redd,Bad Vibes ForeverXXXTENTACION Featuring PnB Rock & Trippie Redd,1,,85,1
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,63,Remember You Young,Thomas Rhett,Remember You YoungThomas Rhett,1,62,53,13
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,66,Camelot,NLE Choppa,CamelotNLE Choppa,1,73,37,13
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,50,Beautiful People,Ed Sheeran Featuring Khalid,Beautiful PeopleEd Sheeran Featuring Khalid,1,36,13,24
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,16,Senorita,Shawn Mendes & Camila Cabello,SenoritaShawn Mendes & Camila Cabello,1,15,1,25
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,22,Panini,Lil Nas X,PaniniLil Nas X,1,17,5,25
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,31,Ran$om,Lil Tecca,Ran$omLil Tecca,1,37,4,28
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,4,Someone You Loved,Lewis Capaldi,Someone You LovedLewis Capaldi,1,4,1,31
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,21,Bad Guy,Billie Eilish,Bad GuyBillie Eilish,1,21,1,37
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,96,RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life)The Black Eyed Peas X J Balvin,2,98,96,3
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,58,Start Wit Me,Roddy Ricch & Gunna,Start Wit MeRoddy Ricch & Gunna,2,,58,4
https://www.billboard.com/charts/hot-100/2019-12-21,12/21/19,37,Sleigh Ride,The Ronettes,Sleigh RideThe Ronettes,2,43,37,5
